m,q,branch,base_density,one_extra_gain,two_extra_gain,expected_two_extra_gain,formula_error,excess_over_twice_one_gain,positive_extra_count,extra_0_length,extra_1_length,extra_length_bound,success,status_name,mip_gap,mip_node_count,solution
73,19,larger,0.12840182648401827,2.502032902002016e-06,5.0040658034489205e-06,5.004065803465316e-06,-1.6395169727054237e-17,-5.551115123125783e-16,2,2.502032901732658e-06,2.502032901732658e-06,2.502032901732658e-06,True,optimal,0.0,178,variable_extra_milp_m73_q19_anchor0_freebase0_extra2_solution.json
74,19,larger,0.1283783783783784,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m74_q19_anchor0_freebase0_extra2_solution.json
75,19,larger,0.12831168831168832,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m75_q19_anchor0_freebase0_extra2_solution.json
76,19,smaller,0.12820512820512822,4.707345624410664e-14,0.0,0.0,0.0,-9.414691248821327e-14,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m76_q19_anchor0_freebase0_extra2_solution.json
76,20,larger,0.1282051282051282,4.439235741254821e-06,8.878471482343109e-06,8.878471482349599e-06,-6.489966441862449e-18,-1.6653345369377348e-16,2,4.439235741174799e-06,4.439235741174799e-06,4.439235741174799e-06,True,optimal,0.0,799,variable_extra_milp_m76_q20_anchor0_freebase0_extra2_solution.json
77,20,larger,0.12822620417557126,2.1349684367066857e-06,4.269936868972479e-06,4.2699368689833924e-06,-1.0913172492424406e-17,-4.440892098500626e-15,2,2.1349684344916962e-06,2.1349684344916962e-06,2.1349684344916962e-06,True,optimal,0.0,94,variable_extra_milp_m77_q20_anchor0_freebase0_extra2_solution.json
78,20,larger,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m78_q20_anchor0_freebase0_extra2_solution.json
79,20,larger,0.12814502265979058,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m79_q20_anchor0_freebase0_extra2_solution.json
80,20,smaller,0.12804878048780488,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m80_q20_anchor0_freebase0_extra2_solution.json
80,21,larger,0.12804878048780488,3.8109756107240766e-06,7.621951219505263e-06,7.621951219512195e-06,-6.932117640329194e-18,-1.942890293094024e-15,2,3.8109756097560976e-06,3.8109756097560976e-06,3.8109756097560976e-06,True,optimal,0.0,1038,variable_extra_milp_m80_q21_anchor0_freebase0_extra2_solution.json
81,21,larger,0.12806782686300758,1.8363348226746457e-06,3.6726696452105134e-06,3.6726696452017487e-06,8.764673421713873e-18,-1.3877787807814457e-16,2,1.8363348226008744e-06,1.8363348226008744e-06,1.8363348226008744e-06,True,optimal,0.0,724,variable_extra_milp_m81_q21_anchor0_freebase0_extra2_solution.json
82,21,larger,0.12804878048780488,2.4763524564264117e-13,0.0,0.0,0.0,-4.952704912852823e-13,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m82_q21_anchor0_freebase0_extra2_solution.json
83,21,larger,0.12799433026222537,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m83_q21_anchor0_freebase0_extra2_solution.json
84,21,smaller,0.12790697674418605,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m84_q21_anchor0_freebase0_extra2_solution.json
84,22,larger,0.12790697674418605,3.295892000515499e-06,6.591784000420375e-06,6.591784000421874e-06,-1.4984012836928573e-18,-6.106226635438361e-16,2,3.295892000210937e-06,3.295892000210937e-06,3.295892000210937e-06,True,optimal,0.0,1357,variable_extra_milp_m84_q22_anchor0_freebase0_extra2_solution.json
85,22,larger,0.12792427315753888,1.5909000517511096e-06,3.1818001034189525e-06,3.1818001034085035e-06,1.0448998437329049e-17,-8.326672684688674e-17,2,1.5909000517042517e-06,1.5909000517042517e-06,1.5909000517042517e-06,True,optimal,0.0,382,variable_extra_milp_m85_q22_anchor0_freebase0_extra2_solution.json
86,22,larger,0.12790697674418605,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m86_q22_anchor0_freebase0_extra2_solution.json
87,22,larger,0.12785741960480435,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m87_q22_anchor0_freebase0_extra2_solution.json
88,22,smaller,0.12777777777777777,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m88_q22_anchor0_freebase0_extra2_solution.json
88,23,larger,0.1277777777777778,2.8696051428411806e-06,5.739210284655405e-06,5.73921028466483e-06,-9.4249356040986e-18,-1.0269562977782698e-15,2,2.869605142332415e-06,2.869605142332415e-06,2.869605142332415e-06,True,optimal,0.0,1174,variable_extra_milp_m88_q23_anchor0_freebase0_extra2_solution.json
89,23,larger,0.12779355475984688,1.387326220098073e-06,2.774652440112879e-06,2.7746524400987223e-06,1.415688516393475e-17,-8.326672684688674e-17,2,1.3873262200493611e-06,1.3873262200493611e-06,1.3873262200493611e-06,True,optimal,0.0,792,variable_extra_milp_m89_q23_anchor0_freebase0_extra2_solution.json
90,23,larger,0.1277777777777778,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m90_q23_anchor0_freebase0_extra2_solution.json
91,23,larger,0.12773248257119224,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m91_q23_anchor0_freebase0_extra2_solution.json
92,23,smaller,0.1276595744680851,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m92_q23_anchor0_freebase0_extra2_solution.json
92,24,larger,0.1276595744680851,2.513775489682013e-06,5.027550979364026e-06,5.0275509793669305e-06,-2.904475976134996e-18,0.0,2,2.5137754896834653e-06,2.5137754896834653e-06,2.5137754896834653e-06,True,optimal,0.0,0,variable_extra_milp_m92_q24_anchor0_freebase0_extra2_solution.json
